Message,Severity,Explanation,Recommended Action
"OSAPI-3-RESETSYSTEM_FAILED: ""System will not reset as %ssoftware is being upgraded.""",3-Error,Reseting the system when an image download on the controller or an image downlaod to the ap in progress could leave the controller or APs with partial images. This could affect the state/functioning of the device after a power cycle. To avoid this the reset of the system is cancelled when a controller or ap is downloading an image.,Standard Recommended Action
"OSAPI-3-ROUTE_INFO_GET_FAILED: ""Unable to retrieve routing information""",3-Error,Unable to retrieve routing information.Unable to access /proc/net/route,Standard Recommended Action
"OSAPI-3-ROUTE_INFO_GET_FAILED: ""Unable to retrieve routing information""",3-Error,Unable to retrieve routing information.Unable to access /proc/net/route,Standard Recommended Action
"OSAPI-3-SERIAL_BAUDRATE_FAIL: ""Setting baudrate for the console failed. Error: %s.""",3-Error,Setting baudrate for the serial port has failed.,Clear line from the terminal server
OSAPI-3-SET_ETHERNET_PORT_FAILED: MSG_TRACEBACK,3-Error,"The linux,LOG_STD_ACTION
OSAPI-3-SET_ETHERNET_PORT_FAILED_1: MSG_TRACEBACK,3-Error,The linux",Standard Recommended Action
OSAPI-3-SET_ETHERNET_PORT_FAILED_2: MSG_TRACEBACK,3-Error,"The linux,LOG_STD_ACTION
OSAPI-3-SET_ETHERNET_PORT_FAILED_3: MSG_TRACEBACK,3-Error,The linux",Standard Recommended Action
OSAPI-3-SOCK_ACCEPT_FAILED: MSG_TRACEBACK,3-Error,An operation has failed while doing socket accept.,Standard Recommended Action
OSAPI-3-SOCK_OPER_FAILED: MSG_TRACEBACK,3-Error,An operation has failed on a socket descriptor.,Standard Recommended Action
OSAPI-3-SOCK_OPER_FAILED: MSG_TRACEBACK,3-Error,An operation has failed on a socket descriptor.,Standard Recommended Action
OSAPI-3-SOCK_SEND_FAILED: MSG_TRACEBACK,3-Error,An operation has failed while doing socket send.,Standard Recommended Action
"OSAPI-3-SOCKET_FAILED: ""Failed to open socket.""",3-Error,System was unable to open a socket.,Standard Recommended Action
"OSAPI-3-SOCKET_FAILED: ""Failed to open socket.""",3-Error,System was unable to open a socket.,Standard Recommended Action
"OSAPI-3-SSH_DUP_NODE: MSG_TRACEBACK | MSG_PROCESS,3-Error,Found a Duplicate node. no action needed """,3-Error,Found a duplicate node.,No action is required
"OSAPI-3-STAT_FAILED: ""Unable to stat %s",3-Error,Unable to stat ,Standard Recommended Action
OSAPI-3-STAT_FAILED: Unable to stat,3-Error,Unable to stat ,Standard Recommended Action
OSAPI-3-SYSCTL_FAILED: MSG_TRACEBACK,3-Error,The system could not use the sysctl for the given ids.,Standard Recommended Action
"OSAPI-3-SYSINFO_FAILED: ""The system API sysinfo",3-Error,The system API returned a failure.,Standard Recommended Action
"OSAPI-3-SYSINFO_FAILED: ""The system API sysinfo",3-Error,The system API returned a failure.,Standard Recommended Action
"OSAPI-3-TASK_ADD_LOCKED: ""Exceeded maximum task count %u",3-Error,Exceeded maximum number of tasks that can be created,Standard Recommended Action
"OSAPI-3-TASK_ADD_LOCKED: ""Exceeded maximum task count %u",3-Error,Exceeded maximum number of tasks that can be created,Standard Recommended Action
OSAPI-3-TASK_GETTIME_FAILED: MSG_TRACEBACK,3-Error,Failed to retrieve statistics,Standard Recommended Action
OSAPI-3-TASK_GETTIME_FAILED: MSG_TRACEBACK,3-Error,Failed to retrieve statistics,Standard Recommended Action
"OSAPI-3-TASK_RMV_LOCKED: ""Failed to delete a task osapiTaskFreeList.head %p",3-Error,Failed to delete a task,Standard Recommended Action
"OSAPI-3-TASK_RMV_LOCKED: ""Failed to delete a task osapiTaskFreeList.head %p",3-Error,Failed to delete a task,Standard Recommended Action
"OSAPI-3-TASK_SET_TICKLE: "" Task %s requesting %d second timer. Minimum is 20.Setting to 20.""",3-Error, Requested timer less than minimum time allowed. Minimum is 20.Setting to 20.,Standard Recommended Action
"OSAPI-3-TASK_SET_TICKLE: "" Task %s requesting %d second timer. Minimum is 20.Setting to 20.""",3-Error, Requested timer less than minimum time allowed. Minimum is 20.Setting to 20.,Standard Recommended Action
"OSAPI-3-TIMER_CALLBACK_CORRUPTED: ""Timer call back is NULL. IndexID=%d",3-Error,Timer control block has a NULL callback handler.,Standard Recommended Action
"OSAPI-3-WLC_HIGH_CPU_UTILIZATION: controller is at %d%% cpu utilization \n """,3-Error,controller is at very high cpu utilization ,If you see this message for a very long period
OSAPI-4-BIG_MEM_ALLOC: MSG_TRACEBACK,4-Warning,A big memory allocation ,Standard Recommended Action
"OSAPI-4-CPU_OVERLOAD: ""Warning! Task %d",4-Warning,Warning! A Task is overloading the CPU.Try Killing the Task!,Standard Recommended Action
"OSAPI-4-CPU_OVERLOAD: ""Warning! Task %d",4-Warning,Warning! A Task is overloading the CPU.Try Killing the Task!,Standard Recommended Action
"OSAPI-4-FD_SOFT_THRESHOLD_REACHED: ""Warning! System File limit reached",4-Warning,Warning! The system.s files limit reachedabove a soft threshold.,Standard Recommended Action
"OSAPI-4-GW_ADD_FAILED: Unable to add the gateway %s. System command returned failure. Errorcode:%d""",4-Warning,Unable to add a gateway. System command returned failure. ,Standard Recommended Action
"OSAPI-4-GW_ADD_FAILED: Unable to add the gateway %s. System command returned failure. Errorcode:%d""",4-Warning,Unable to add a gateway. System command returned failure. ,Standard Recommended Action
"OSAPI-4-HI_MEM_THRESHOLD_CROSSED: ""Warning! System free memory",4-Warning,Warning! The system's free memory has fallen below thehigh threshold.,Standard Recommended Action
"OSAPI-4-HI_MEM_THRESHOLD_RESTORED: ""Warning! System free memory",4-Warning,Warning! The system.s free memory has been restoredabove a high threshold.,Standard Recommended Action
"OSAPI-4-IPV6_NEIGH_ADD_FAILED: ""Unable to add the IPv6 neighbour",4-Warning,Unable to add a route. System command returned failure. ,Standard Recommended Action
"OSAPI-4-IPV6_NEIGH_DEL_FAILED: ""Unable to delete the IPv6 neighbour",4-Warning,Unable to delete a route. System command returned failure. ,Standard Recommended Action
"OSAPI-4-IPV6_READ_ADDRS_FAILED: ""getifaddrs returned with errors",4-Warning,Unable to read addresses from linux interfaces. ,Standard Recommended Action
OSAPI-4-IPV6_ROUTE_ADD_FAILED: Unable to add the IPv6 route,4-Warning,Unable to add a route. System command returned failure. ,Standard Recommended Action
"OSAPI-4-IPV6_ROUTE_DEL_FAILED: ""Unable to delete the IPv6 route",4-Warning,Unable to delete a route. System command returned failure. ,Standard Recommended Action
OSAPI-4-MSGQ_DUMP_FAILED: MSG_TRACEBACK | MSG_PROCESS,4-Warning,Failed to dump the message queue history in the event of a crash.,Standard Recommended Action
OSAPI-4-MSGQ_DUMP_FAILED: MSG_TRACEBACK | MSG_PROCESS,4-Warning,Failed to dump the message queue history in the event of a crash.,Standard Recommended Action
OSAPI-4-MSGQ_RECV_FAILED: MSG_TRACEBACK | MSG_PROCESS,4-Warning,Failed to receive a message from a message queue object.,Standard Recommended Action
OSAPI-4-MSGQ_RECV_FAILED: MSG_TRACEBACK | MSG_PROCESS,4-Warning,Failed to receive a message from a message queue object.,Standard Recommended Action
OSAPI-4-MSGQ_SEND_FAILED: MSG_TRACEBACK | MSG_PROCESS,4-Warning,Failed to send a message to a message queue object.,Standard Recommended Action
OSAPI-4-MSGQ_SEND_FAILED: MSG_TRACEBACK | MSG_PROCESS,4-Warning,Failed to send a message to a message queue object.,Standard Recommended Action
OSAPI-4-MUTEX_LOCK_FAILED: MSG_TRACEBACK | MSG_PROCESS,4-Warning,Failed to acquire a mutual exclusion object.,Standard Recommended Action
OSAPI-4-MUTEX_LOCK_FAILED: MSG_TRACEBACK | MSG_PROCESS,4-Warning,Failed to acquire a mutual exclusion object.,Standard Recommended Action
"OSAPI-4-OSAPI_PING_ERROR_RESPONSE: ""Ping request to %u.%u.%u.%u has failed",4-Warning,Error response is received for Ping request.,This is a debug message only. No action is required.
"OSAPI-4-ROUTE_ADD_FAILED: ""Unable to add the route",4-Warning,Unable to add a route. System command returned failure. ,Standard Recommended Action
"OSAPI-4-ROUTE_ADD_FAILED: ""Unable to add the route",4-Warning,Unable to add a route. System command returned failure. ,Standard Recommended Action
"OSAPI-4-ROUTE_DEL_FAILED: ""Unable to delete the route",4-Warning,Unable to delete a route. System command returned failure. ,Standard Recommended Action
"OSAPI-4-ROUTE_DEL_FAILED: ""Unable to delete the route",4-Warning,Unable to delete a route. System command returned failure. ,Standard Recommended Action
"OSAPI-4-TASK_PRIORITY_INFO: ""%s - TaskID %p",4-Warning,Changing thread priority,Standard Recommended Action
"OSAPI-4-TIME_SHIFT_DETECTED: ""Detected %s time shift. Last: %ld.%ld. --> Now:%ld.%ld.""",4-Warning,Detected a time shift.,Standard Recommended Action
"OSAPI-4-TIME_SHIFT_DETECTED: ""Detected %s time shift. Last: %ld.%ld. --> Now:%ld.%ld.""",4-Warning,Detected a time shift.,Standard Recommended Action
"OSAPI-4-TIMERTCB_NOT_ALLOCATED: ""Timer %u/%u",4-Warning,A software timer object is already destroyed and cannot be used,Standard Recommended Action
"OSAPI-4-TIMERTCB_NOT_ALLOCATED: ""Timer %u/%u",4-Warning,A software timer object is already destroyed and cannot be used,Standard Recommended Action
"OSAPI-4-TIMERTCB_REALLOCATED: ""Timer %u/%u",4-Warning,Timer found to be destroyed/reallocated.,Standard Recommended Action
"OSAPI-4-TIMERTCB_REALLOCATED: ""Timer %u/%u",4-Warning,Timer found to be destroyed/reallocated.,Standard Recommended Action
"OSAPI-5-CLEAN_TASK: ""Reaper cleaning up exited task '%s'",5-Notice,Reaper cleaning up exited task,No action is required
"OSAPI-5-CLEAN_TASK: ""Reaper cleaning up exited task '%s'",5-Notice,Reaper cleaning up exited task,No action is required
OSAPI-5-FILE_DEL_FAILED: MSG_TRACEBACK | MSG_PROCESS,5-Notice,"The system could not delete a file or directory. There maybe several reasons behind it,LOG_STD_ACTION
OSAPI-4-FILE_MOVE_FAILED: MSG_TRACEBACK,4-Warning,The system could not move or rename a file or directory.There may be several reasons behind it",Standard Recommended Action
OSAPI-5-FILE_DEL_FAILED: MSG_TRACEBACK | MSG_PROCESS,5-Notice,"The system could not delete a file or directory. There maybe several reasons behind it,LOG_STD_ACTION
OSAPI-4-FILE_MOVE_FAILED: MSG_TRACEBACK,4-Warning,The system could not move or rename a file or directory.There may be several reasons behind it",Standard Recommended Action
OSAPI-5-FILE_READ_FAILED: MSG_TRACEBACK,5-Notice,"The system could not read from a file or directory. Theremay be several reasons behind it,LOG_STD_ACTION
OSAPI-5-FILE_READNOCLOSE_FAILED: MSG_TRACEBACK,5-Notice,The system could not read from a file or directory. Theremay be several reasons behind it",Standard Recommended Action
OSAPI-5-FILE_READ_FAILED: MSG_TRACEBACK,5-Notice,"The system could not read from a file or directory. Theremay be several reasons behind it,LOG_STD_ACTION
OSAPI-5-FILE_READNOCLOSE_FAILED: MSG_TRACEBACK,5-Notice,The system could not read from a file or directory. Theremay be several reasons behind it",Standard Recommended Action
OSAPI-5-MSGQ_DEL_FAILED: MSG_TRACEBACK | MSG_PROCESS,5-Notice,Failed to delete a message queue object.,Standard Recommended Action
OSAPI-5-MSGQ_DEL_FAILED: MSG_TRACEBACK | MSG_PROCESS,5-Notice,Failed to delete a message queue object.,Standard Recommended Action
OSAPI-5-MUTEX_DEL_FAILED: MSG_TRACEBACK | MSG_PROCESS,5-Notice,Failed to delete a mutual exclusion object. ,Standard Recommended Action
OSAPI-5-MUTEX_DEL_FAILED: MSG_TRACEBACK | MSG_PROCESS,5-Notice,Failed to delete a mutual exclusion object. ,Standard Recommended Action
OSAPI-5-MUTEX_UNLOCK_FAILED: MSG_TRACEBACK | MSG_PROCESS,5-Notice,Failed to release a mutual exclusion object.,Standard Recommended Action
OSAPI-5-MUTEX_UNLOCK_FAILED: MSG_TRACEBACK | MSG_PROCESS,5-Notice,Failed to release a mutual exclusion object.,Standard Recommended Action
OSAPI-5-OSAPI_INVALID_TIMER: MSG_TRACEBACK | MSG_PROCESS,5-Notice,The system could not retrieve timer control block to free.,Standard Recommended Action
"OSAPI-6-AUTO_MEM_LEAK_SET: ""Auto min memleak setup""",6-Information,For 4400 series of controllers it was observed that if the free memory is less than 92MB then core dump to ftp in case of crash is failing.so we are auto enabling the memory montitor to crash if free memory is less than 95MB.We auto enable this only if the core dump is enabled. This threshold is now set,No action is required
"OSAPI-6-CONFIG_NOT_SAVED: ""Configuration Not Saved. System will now restart!""",6-Information,The configuration has not been saved.The system will now restart.,Standard Recommended Action
"OSAPI-6-CONFIG_SAVED: ""Configuration Saved. System will now restart!""",6-Information,Configuration Saved. The system will now restart.,Standard Recommended Action
"OSAPI-6-RESET_TRAP_GENERATED: ""System reset trap message generated""",6-Information,A system reset trap message has been generated,Standard Recommended Action
PA_PKT-3-PA_DLIST_MEM_REQ_FAILED: ,3-Error,PA unaware feature doing pkt_head_clip more than first pbuf on PA pkt.,Standard Recommended Action
"PA_PKT-3-PA_VFR_CALLBACK_ARGS_ERROR: ""%s 0x%x""",3-Error,PA vFR callback input args error.,Standard Recommended Action
PA_PKT-5-PA_DLIST_ALLOC_FAILED: ,5-Notice,Could not allocate segmented packet list header.,Standard Recommended Action
"PBUF-3-PBUF_MEM_INIT_FAILED: ""%s""",3-Error,Failure occurred when attempting to create memory resource,Standard Recommended Action
"PBUF-3-PBUF_PKT_MEM_CORRUPT: ""%x %x""",3-Error,Memory corruption detected while freeing extended packet memory,Standard Recommended Action
"PBUF-3-PBUF_SH_DRAM_CVT_FAIL: ""%s""",3-Error,An attempt to convert a shared DRAM buffer to non-shared failed.,Standard Recommended Action
"PEM-0-CREATETASK: ""Failed to create PEM receive task.""",0-Emergency,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-0-NOQ: ""PEM: no message queue",0-Emergency,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-1-ADDNPURULE1: ""Unable to push temporary Fast Path rule for mobile %02x:%02x:%02x:%02x:%02x:%02x on AP %02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-1-ADDNPURULE2: ""Unable to plumb temporary rule for mobile%02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-1-ADDVPN: ""Unable to create IPsec rule for mobile %02x:%02x:%02x:%02x:%02x:%02x.""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-1-ADDWEBRULE1: ""Unable to add web rule for mobile %02x:%02x:%02x:%02x:%02x:%02x on AP %02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-1-ADDWEBRULE2: ""Unable to create web rule for mobile %02x:%02x:%02x:%02x:%02x:%02x.""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-1-AEPIINIT: ""Bypassing AEPI process for mobile %02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,AEPI is not enabled,Standard Recommended Action
"PEM-1-DELMSRULE1: ""Unable to delete policy rule %d for mobile %02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,LOG_EXPL_SYSERR,No action is required
"PEM-1-DELMSRULE2: ""Unable to delete policy rule for mobile%02x:%02x:%02x:%02x:%02x:%02x """,1-Alert,LOG_EXPL_SYSERR,No action is required
"PEM-1-DOT1XINIT1: ""Unable to initialize 802.1X for mobile %02x:%02x:%02x:%02x:%02x:%02x on AP %02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-1-GETPOL: Unable to retrieve encrypt policy for mobile %02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,The system is unable to retrieve an encryption policy for the mobile.,Standard Recommended Action
"PEM-1-HALOAP: ""Unable to %s Halo AP fast path entry for Halo MAC %02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,LOG_EXPL_SYSERR,No action is required
"PEM-1-MGMTINTF: ""Can not get management interface.""",1-Alert,The management interface cannot be found. It needs to be configured.,Configure the management interface.
"PEM-1-MSGTAG050: ""%s: Unable to register L2TP session""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-1-MSGTAG063: ""Cannot delete IPsec mobile %d.%d.%d.%d""",1-Alert,LOG_EXPL_SYSERR,No action is required
"PEM-1-PLUMBIP: ""Unable to add IP address learning SCB to NPU for mobile %02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-1-PMIPv6_ID_ALLOC_FAIL: ""Out of memory! Unable to allocate memory for callback id for station %02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,The system has failed to register an IP address on the MSCB.,Standard Recommended Action
"PEM-1-SERVTYPE: ""Rejecting web-auth login for user '%s' with invalid Service-Type %d""",1-Alert,The system has detected an invalid AAA service type,No action is required
"PEM-1-SETNAME: ""Unable to allow user %s into the system - perhaps the user is already logged onto the system?""",1-Alert,This user name might have reached its maximum number of allowed sessions. This number is configurable.,Check the configured number of allowed sessions for this user. It may be 0
"PEM-1-SNIFFAP: ""Unable to add sniffer AP fast path rule for AP %02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,LOG_EXPL_SYSERR,No action is required
"PEM-1-SPAMADDSTA: ""Unable to create SPAM Mobile State.""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-1-VPNIMPORT: ""Unable to import IKE SA for mobile %02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,Unable to import IKE SA for mobile %02x:%02x:%02x:%02x:%02x:%02x,Re-start your VPN session.
"PEM-1-WEBAUTHOFF: ""Unable to enforce web auth policy due to invalid state for mobile %02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,Web-authentication is not configured,Configure web-auth.
"PEM-2-ADDVPN3: ""%s""",2-Critical,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-2-DELVPN1: ""%s""",2-Critical,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-2-DELVPN4: ""%s""",2-Critical,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-2-XXX: ""%s""",2-Critical,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-3-ADDNPURULE3: ""%s""",3-Error,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-3-ADDVPN2: ""%s""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-3-APPLYPOL: ""pemLogInWebAuthUser: Failed to apply RADIUS policy.""",3-Error,AAA override is not enabled or there is a WLAN misconfiguration.,Check the WLAN configuration.
"PEM-3-BADWLANID1: ""Ignoring zero WLAN ID on AP %02x:%02x:%02x:%02x:%02x:%02x for mobile %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,LOG_EXPL_SYSERR,No action is required
"PEM-3-BADWLANID2: ""PEM state %d",3-Error,LOG_EXPL_SYSERR,No action is required
"PEM-3-CFGSAVE: ""Error on call to osapiFsWrite routine on config file %s.""",3-Error,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-3-DELIKE: ""%s""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-3-DELMMVPN: ""%s""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-3-DELMSRULE3: ""%s""",3-Error,LOG_EXPL_SYSERR,No action is required
"PEM-3-DELSTA: ""%s""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-3-DELSTA2: ""%s""",3-Error,The system has attempted to delete a client that does not exist. The client might have already been deleted.,No action is required
"PEM-3-DELVPN2: ""%s""",3-Error,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-3-DHCP_EVENT_IN_INVALID_STATE: ""DCHP event in invalid state of %s for mobile%02x:%02x:%02x:%02x:%02x:%02x""",3-Error,DHCP Event in an invalid state,Reassociate the client with WLANThis would restart the DHCP process for the client
"PEM-3-DOT1X_STATICWEP_MACFILTER_FAILURE: ""Not Advancing STA %02x:%02x:%02x:%02x:%02x:%02x past 8021X_REQD on WLAN supporting both static and dynamic WEP as mac auth failed. Status code: %d""",3-Error,Failed to associate client since it's MAC Address is not configured on the AAA Server on a wlan which is configured with Static-WEP+802.1x with dot1x-onMac auth failover feature. Please configure the same.,Configure Client's MAC Address in the AAA Server
"PEM-3-DOT1XINIT2: ""%s""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-3-GLOBALSTAT_GET_FAILED: ""Unable to get the web-customizations global status for WLAN ID %d.""",3-Error,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-3-GTPV2_LIB_CODE_FAILED: ""GTPV2 Library",3-Error,GTPv2 Library Attach code failed,Standard Recommended Action
"PEM-3-IMPORTSA: ""%s""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-3-INVRULE: ""%s""",3-Error,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-3-L2TPRULE: Unable to replace Fast Path rule for L2TP mobile %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,LOG_EXPL_SYSERR,No action is required
"PEM-3-MSGQ: ""pemSysInit: couldn't create PEM message queue.""",3-Error,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-3-NOOVERRIDE: ""Failed to apply RADIUS over-ride policy for station %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,AAA over-ride is disabled or the WLAN is misconfigured.,Check your WLAN configuration.
"PEM-3-NPU_REMOVE_FAIL: ""Unable to queue the remove NPU entry messagefor mobile %02x:%02x:%02x:%02x:%02x:%02x",3-Error,Unable to remove NPU entry for mobile ,No action is required
"PEM-3-PLUMB: ""%s""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-3-PMIPv6_ARP_DEL_FAIL: ""PMIPv6 Mag callback",3-Error,This message indicates that IP is changed for PMIP Client and Old ARP Entry deletion failed.,Standard Recommended Action
"PEM-3-PMIPv6_CLEANUP_INVALID_MAC: ""PMIPv6 Mag client cleanup called with invalid data""",3-Error,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-3-PMIPv6_INVALID_MAG_CB: ""PMIPv6 Mag callback called with invalid data""",3-Error,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-3-PMIPv6_IPV4DB_DEL_FAIL: ""PMIPv6 Mag callback",3-Error,This message indicates that IP is changed for PMIP Client and Old Entry in IPv4Db deletion failed.,Standard Recommended Action
"PEM-3-PMIPv6_MAG_CALLBACK_FAIL: PMIPv6 Mag callback returned failure for station %02x:%02x:%02x:%02x:%02x:%02x Status: %s""",3-Error,The PMIP callback has returned an error info.,Standard Recommended Action
"PEM-3-PMIPv6_MAG_FAIL: ""PMIPv6 Mag callback returned failure for station %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The system has failed to register a station with the LMA.,Standard Recommended Action
"PEM-3-PORTCHANGE: ""simMsPortChange Error in queuing pem message""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-3-REDIRRULE: ""%s""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-3-TXXID: ""pemSend802_2XIDFrame: Out of system buffers.""",3-Error,The system ran out of memory.,Standard Recommended Action
"PEM-3-TXXID2: ""pemPortChangeHandler: Could not send XID frame""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-3-TXXID3: ""pemDispatcPortChange: Could not update NPU""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-3-UNKNOWNMSG: ""PEMRECV: Received unsupported message type %d.""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-3-WEBEVENT: ""Bad return from ProcessWebEvent.""",3-Error,LOG_EXPL_SYSERR,No action is required
"PEM-4-ADD_IPV6_ADDR_FAILED: ""Add Client %02x:%02x:%02x:%02x:%02x:%02x to SCB failed""",4-Warning,Add Client to dtl scb failed.,Standard Recommended Action
"PEM-4-ADDVPN4: ""%s""",4-Warning,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PEM-4-CHANGENACSTATE: ""Client %02x:%02x:%02x:%02x:%02x:%02x not found while changing NAC state """,4-Warning,Chnaging NAC state for client failed.,Standard Recommended Action
"PEM-4-DEL_IPV6_ADDR_FAILED: ""Delete Client %02x:%02x:%02x:%02x:%02x:%02x from SCB failed""",4-Warning,Delete Client from dtl scb failed.,Standard Recommended Action
"PEM-4-DOT1X_AUTH_INIT: ""Failed to update the internal pem state machine for dot1x authentication for mobile %02x:%02x:%02x:%02x:%02x:%02x at Wlan Id: %d.""",4-Warning,Failed to update the internal pem state machine for dot1x authentication,Standard Recommended Action
"PEM-4-ENCRYPT_POL_ERROR: ""Unable to retrieve encryption policy for mobile %02x:%02x:%02x:%02x:%02x:%02x.""",4-Warning,Unable to retrieve encryption policy for mobile ,Standard Recommended Action
"PEM-4-MSCB_FAILED: ""Unable to find the mscb.""",4-Warning,Failed to retrieve the MSCB of the client.,Standard Recommended Action
"PEM-4-NORCV: ""PEMRECV: MessageReceive",4-Warning,LOG_EXPL_SYSERR,Standard Recommended Action
"PEM-4-TEMPLUMB_FAILED: ""Unable to plumb temporary rulefor mobile %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,Unable to plumb temporary rule for mobile ,Standard Recommended Action
"PEM-4-TXIAPPTBL: ""Unable to send IAPP AssocTableReq for mobile %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,LOG_EXPL_SYSERR,No action is required
"PEM-6-GUESTIN: ""Guest user logged in with user account",6-Information,Guest user logged in.,Standard Recommended Action
"PEM-6-GUESTOUT: ""Guest user logged out with user account",6-Information,Guest user logged out.,Standard Recommended Action
"PEM-6-PMIPv6_ARP_DEL_SUCCESS: ""PMIPv6 Mag callback",6-Information,This message indicates that IP is changed for PMIP Client and Old ARP Entry deletion succeded.,No action is required
"PEM-6-QVLAN_INTF_REMAP: ""Remapping interface ID for STA %02x:%02x:%02x:%02x:%02x:%02x from %u to %u",6-Information,STAs that are mapped to a quarantine VLAN might need remapping to the correct interface during the quarantine phase,Standard Recommended Action
"PEM-6-WEBAUTHFAIL: ""Invalid credentials entered",6-Information,Web authentication failed.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PKTDEBUG-2-MSGTAG009: ""Failed to create PKTDEBUG socket rx task..""",2-Critical,PKTDEBUG task failed to start correctly.,Standard Recommended Action
"PKTDEBUG-2-MSGTAG010: ""Unable to open PKTDEBUG socket""",2-Critical,PKTDEBUG task failed to start correctly.,Standard Recommended Action
"PKTDEBUG-3-MSGTAG012: ""select from PKTDEBUG socket failed with error %d""",3-Error,PKTDEBUG task is experiencing problems while processing packets.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PKTDEBUG-3-MSGTAG014: ""read from dtl PKTDEBUG socket failed.""",3-Error,PKTDEBUG task is experiencing problems while processing packets.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"PKTDEBUG-6-MSGTAG001: ""Starting packet log""",6-Information,The packet logging service was enabled.,Standard Recommended Action
"PKTDEBUG-6-MSGTAG002: ""Stopping packet log""",6-Information,The packet logging service was disabled.,Standard Recommended Action
"PKTDEBUG-6-MSGTAG003: ""Packet log displayed %u of %u packets""",6-Information,The packet logging service displayed the requested number of packets and will now terminate.,Standard Recommended Action
"PKTLOG-1-PROXY_MEM_APPEND_ERR: ""%u %u %u""",1-Alert,Could not add memory to memory pool,Standard Recommended Action
